User,Chart,mode ,timespent,dataset
1,bar,predict,115,admission
1,bar,see data,19,admission
1,bar,predict,58,admission
1,bar,see data,6,admission
1,scatter,predict,66,admission
1,scatter,see data,10,admission
1,bar,predict,45,admission
1,bar,see data,10,admission
1,scatter,predict,83,admission
1,scatter,see data,40,admission
1,parallel,predict,170,admission
1,parallel,see data,106,admission
1,bar,predict,23,admission
1,bar,see data,9,admission
1,parallel,predict,78,admission
1,parallel,see data,136,admission
1,bar,predict,35,admission
1,bar,see data,25,admission
1,bar,predict,63,admission
1,bar,see data,11,admission
2,histogram,predict,46,admission
2,histogram,see data,54,admission
2,scatter,predict,62,admission
2,scatter,see data,26,admission
2,parallel,predict,102,admission
2,parallel,see data,23,admission
2,scatter,predict,28,admission
2,scatter,see data,83,admission
2,parallel,predict,36,admission
2,parallel,see data,43,admission
2,histogram,predict,74,admission
2,histogram,see data,44,admission
2,bar,predict,52,admission
2,bar,see data,79,admission
4,histogram,predict,56,admission
4,histogram,see data,10,admission
4,histogram,predict,45,admission
4,histogram,see data,46,admission
4,bar,predict,52,admission
4,bar,see data,9,admission
4,bar,predict,32,admission
4,bar,see data,19,admission
4,scatter,predict,68,admission
4,scatter,see data,21,admission
4,histogram,predict,95,admission
4,histogram,see data,18,admission
4,parallel,predict,126,admission
4,parallel,see data,144,admission
5,bar,predict,85,admission
5,bar,see data,26,admission
5,bar,predict,80,admission
5,bar,see data,13,admission
5,bar,predict,40,admission
5,bar,see data,34,admission
5,bar,predict,20,admission
5,bar,see data,75,admission
5,bar,predict,27,admission
5,bar,see data,56,admission
5,bar,predict,26,admission
5,bar,see data,13,admission
5,scatter,predict,54,admission
5,scatter,see data,50,admission
5,bar,predict,64,admission
5,bar,see data,131,admission
5,bar,predict,154,admission
5,bar,see data,21,admission
5,histogram,predict,175,admission
5,histogram,see data,12,admission
5,parallel,predict,27,admission
5,parallel,see data,30,admission
5,parallel,predict,36,admission
5,parallel,see data,32,admission
5,parallel,predict,13,admission
5,parallel,see data,24,admission
6,scatter,predict,23,admission
6,scatter,see data,16,admission
6,parallel,predict,40,admission
6,parallel,see data,28,admission
6,parallel,predict,76,admission
6,parallel,see data,40,admission
6,scatter,predict,15,admission
6,scatter,see data,25,admission
6,scatter,predict,92,admission
6,scatter,see data,23,admission
6,histogram,see data,3,admission
6,bar,predict,5,admission
6,bar,see data,36,admission
6,scatter,predict,9,admission
6,scatter,see data,145,admission
6,histogram,predict,10,admission
6,histogram,see data,178,admission
6,histogram,predict,23,admission
6,histogram,see data,17,admission
7,histogram,predict,20,admission
7,histogram,see data,24,admission
7,histogram,predict,37,admission
7,histogram,see data,24,admission
7,scatter,predict,69,admission
7,scatter,see data,18,admission
7,scatter,predict,17,admission
7,scatter,see data,31,admission
7,histogram,predict,121,admission
7,histogram,see data,20,admission
7,bar,predict,123,admission
7,bar,see data,14,admission
7,scatter,predict,47,admission
7,scatter,see data,41,admission
7,scatter,predict,88,admission
7,scatter,see data,58,admission
7,scatter,predict,67,admission
7,scatter,see data,6,admission
7,scatter,predict,16,admission
7,scatter,see data,40,admission
7,parallel,predict,72,admission
7,parallel,see data,93,admission
1,line,predict,17,music
1,line,see data,8,music
1,line,predict,43,music
1,line,see data,11,music
1,scatter,predict,63,music
1,scatter,see data,22,music
1,bar,predict,37,music
1,bar,see data,26,music
1,scatter,predict,59,music
1,scatter,see data,14,music
1,scatter,predict,42,music
1,scatter,see data,29,music
1,scatter,predict,56,music
1,scatter,see data,32,music
1,scatter,predict,37,music
1,scatter,see data,28,music
1,scatter,predict,40,music
1,scatter,see data,13,music
1,bar,predict,18,music
1,bar,see data,10,music
1,bar,predict,27,music
1,bar,see data,23,music
1,bar,predict,25,music
1,bar,see data,22,music
2,bar,predict,35,music
2,bar,see data,124,music
2,scatter,predict,31,music
2,scatter,see data,45,music
2,parallel,predict,51,music
2,parallel,see data,28,music
2,line,predict,84,music
2,line,see data,56,music
2,parallel,predict,52,music
2,parallel,see data,19,music
2,scatter,predict,44,music
2,scatter,see data,18,music
4,bar,predict,37,music
4,bar,see data,14,music
4,bar,predict,46,music
4,bar,see data,60,music
4,line,predict,40,music
4,line,see data,12,music
4,histogram,predict,75,music
4,histogram,see data,25,music
4,scatter,predict,54,music
4,scatter,see data,12,music
4,histogram,predict,63,music
4,histogram,see data,33,music
4,histogram,predict,53,music
4,histogram,see data,43,music
4,scatter,predict,30,music
4,scatter,see data,17,music
4,scatter,predict,43,music
4,scatter,see data,19,music
4,scatter,predict,48,music
4,scatter,see data,11,music
4,scatter,predict,66,music
4,scatter,see data,7,music
4,line,predict,31,music
4,line,see data,5,music
4,scatter,predict,36,music
4,scatter,see data,34,music
4,scatter,predict,35,music
