User,Chart,mode ,timespent,dataset
1,scatter,predict,47,Admission
1,scatter,see data,25,Admission
1,scatter,predict,43,Admission
1,scatter,see data,59,Admission
1,parallel,see data,22,Admission
1,scatter,predict,34,Admission
1,scatter,see data,121,Admission
1,scatter,predict,18,Admission
1,scatter,see data,98,Admission
1,scatter,predict,22,Admission
1,scatter,see data,66,Admission
1,bar,predict,19,Admission
1,bar,see data,120,Admission
1,scatter,predict,30,Admission
1,scatter,see data,192,Admission
1,scatter,predict,12,Admission
1,scatter,see data,50,Admission
1,bar,predict,21,Music
1,bar,see data,44,Music
1,line,predict,32,Music
1,line,see data,56,Music
1,scatter,predict,63,Music
1,scatter,see data,71,Music
1,scatter,predict,9,Music
1,scatter,see data,56,Music
1,scatter,predict,10,Music
1,scatter,see data,162,Music
1,scatter,predict,2,Music
1,scatter,see data,286,Music
1,scatter,predict,57,Music
1,scatter,see data,89,Music
1,bar,predict,40,Music
1,bar,see data,183,Music
1,scatter,predict,22,Music
1,scatter,see data,222,Music
1,bar,predict,10,Music
1,bar,see data,38,Music
1,scatter,predict,24,Music
1,scatter,see data,47,Music
1,line,predict,22,Music
1,line,see data,53,Music
1,line,predict,9,Music
1,line,see data,62,Music
1,line,predict,7,Music
1,line,see data,29,Music
1,scatter,predict,2,Music
1,scatter,see data,13,Music
2,scatter,predict,11,Admission
2,scatter,see data,21,Admission
2,scatter,predict,3,Admission
2,scatter,see data,26,Admission
2,scatter,predict,20,Admission
2,scatter,see data,28,Admission
2,histogram,predict,14,Admission
2,histogram,see data,27,Admission
2,histogram,predict,21,Admission
2,histogram,see data,52,Admission
2,scatter,predict,14,Admission
2,scatter,see data,173,Admission
2,scatter,predict,18,Admission
2,scatter,see data,42,Admission
2,scatter,predict,2,Admission
2,scatter,see data,25,Admission
2,bar,predict,12,Admission
2,bar,see data,17,Admission
2,bar,predict,2,Admission
2,bar,see data,12,Admission
2,scatter,predict,23,Admission
2,scatter,see data,42,Admission
2,scatter,predict,63,Admission
2,scatter,see data,77,Admission
2,bar,predict,25,Admission
2,bar,see data,43,Admission
2,bar,predict,29,Admission
2,bar,see data,26,Admission
2,bar,predict,25,Admission
2,bar,see data,54,Admission
2,bar,predict,18,Music
2,bar,see data,25,Music
2,bar,predict,4,Music
2,bar,see data,12,Music
2,scatter,predict,33,Music
2,scatter,see data,25,Music
2,scatter,predict,26,Music
2,scatter,see data,24,Music
2,line,see data,133,Music
2,scatter,predict,59,Music
2,scatter,see data,39,Music
2,scatter,predict,24,Music
2,scatter,see data,30,Music
2,scatter,predict,27,Music
2,scatter,see data,58,Music
2,scatter,predict,23,Music
2,scatter,see data,27,Music
2,scatter,predict,16,Music
2,scatter,see data,44,Music
2,scatter,predict,32,Music
2,scatter,see data,40,Music
2,scatter,predict,17,Music
2,scatter,see data,20,Music
2,histogram,predict,57,Music
2,histogram,see data,35,Music
2,scatter,predict,15,Music
2,scatter,see data,42,Music
2,scatter,predict,12,Music
2,scatter,see data,52,Music
2,bar,predict,25,Music
2,bar,see data,25,Music
2,scatter,predict,22,Music
2,scatter,see data,240,Music
3,,predict,48,Admission
3,,see data,93,Admission
3,,predict,25,Admission
3,,see data,43,Admission
3,,predict,10,Admission
3,,see data,76,Admission
3,,brushing,156,Admission
3,,see data,111,Admission
3,,predict,58,Admission
3,,see data,80,Admission
3,,predict,48,Admission
3,,see data,37,Admission
3,,predict,54,Admission
3,,see data,45,Admission
3,,predict,53,Admission
3,,see data,84,Admission
3,,brushing,34,Admission
3,,predict,13,Admission
3,,see data,11,Admission
3,,brushing,29,Admission
3,,predict,64,Admission
3,,see data,10,Admission
3,,brushing,229,Admission
3,,predict,8,Admission
3,,see data,285,Admission
3,,predict,46,Admission
3,,see data,11,Admission
3,,predict,39,Admission
3,,see data,17,Admission
3,,brushing,281,Admission
3,,see data,35,Admission
3,,brushing,233,Admission
3,,brushing,59,Admission
3,,brushing,106,Admission
3,,predict,88,Admission
3,,see data,159,Admission
3,,predict,36,Admission
3,,see data,1,Admission
3,,brushing,156,Admission
3,,predict,21,Music
3,,see data,53,Music
3,,predict,27,Music
3,,brushing,58,Music
3,,predict,24,Music
3,,see data,11,Music
3,,predict,20,Music
3,,see data,33,Music
3,,predict,14,Music
3,,see data,30,Music
3,,predict,29,Music
3,,see data,11,Music
3,,predict,15,Music
3,,see data,20,Music
3,,predict,17,Music
3,,see data,2,Music
3,,brushing,46,Music
3,,predict,27,Music
3,,see data,38,Music
3,,predict,12,Music
3,,see data,4,Music
3,,brushing,26,Music
3,,brushing,117,Music
3,,predict,3,Music
3,,see data,10,Music
3,,brushing,66,Music
3,,predict,8,Music
3,,see data,7,Music
3,,brushing,178,Music
3,,predict,3,Music
3,,see data,4,Music
3,,brushing,45,Music
3,,predict,4,Music
3,,see data,4,Music
3,,brushing,15,Music
3,,predict,7,Music
3,,see data,8,Music
3,,brushing,515,Music
3,,brushing,67,Music
4,,predict,12,Admission
4,,see data,83,Admission
4,,predict,39,Admission
4,,see data,19,Admission
4,,predict,49,Admission
4,,see data,48,Admission
4,,predict,41,Admission
4,,see data,12,Admission
4,,see data,2,Admission
4,,brushing,9,Admission
4,,brushing,52,Admission
4,,see data,10,Admission
4,,see data,13,Admission
4,,see data,2,Admission
4,,brushing,45,Admission
4,,see data,69,Admission
4,,predict,24,Admission
4,,see data,10,Admission
4,,brushing,153,Admission
4,,see data,41,Admission
4,,see data,33,Admission
4,,brushing,61,Admission
4,,see data,26,Admission
4,,see data,22,Admission
4,,see data,11,Music
4,,brushing,177,Music
4,,brushing,33,Music
4,,see data,22,Music
4,,brushing,11,Music
4,,see data,1,Music
4,,see data,14,Music
4,,brushing,13,Music
4,,brushing,7,Music
4,,see data,1,Music
4,,see data,3,Music
4,,brushing,70,Music
4,,see data,11,Music
4,,brushing,17,Music
4,,see data,1,Music
4,,brushing,22,Music
4,,see data,1,Music
4,,brushing,32,Music
4,,see data,15,Music
4,,see data,5,Music
4,,see data,11,Music
4,,brushing,190,Music
4,,see data,23,Music
4,,brushing,39,Music
4,,see data,22,Music
4,,see data,46,Music
4,,see data,17,Music
4,,see data,19,Music
4,,brushing,27,Music
4,,brushing,13,Music
5,,predict,10,Admission
5,,see data,9,Admission
5,,brushing,278,Admission
5,,predict,20,Admission
5,,see data,9,Admission
5,,brushing,100,Admission
5,,predict,96,Admission
5,,see data,183,Admission
5,,predict,24,Admission
5,,see data,9,Admission
5,,brushing,249,Admission
5,,predict,14,Admission
5,,see data,35,Admission
5,,see data,69,Admission
5,,brushing,184,Admission
5,,predict,5,Admission
5,,see data,10,Admission
5,,brushing,108,Admission
5,,predict,60,Music
5,,predict,10,Music
5,,see data,137,Music
5,,brushing,165,Music
5,,predict,4,Music
5,,see data,68,Music
5,,predict,56,Music
5,,see data,9,Music
5,,brushing,137,Music
5,,predict,56,Music
5,,see data,94,Music
5,,predict,103,Music
5,,see data,8,Music
5,,brushing,37,Music
5,,predict,37,Music
5,,see data,37,Music
5,,predict,72,Music
5,,see data,61,Music
5,,predict,21,Music
5,,see data,11,Music
5,,predict,32,Music
5,,see data,5,Music
5,,brushing,38,Music
6,,predict,22,Admission
6,,see data,21,Admission
6,,predict,36,Admission
6,,see data,24,Admission
6,,brushing,19,Admission
6,,predict,24,Admission
6,,see data,28,Admission
6,,predict,32,Admission
6,,see data,11,Admission
6,,see data,38,Admission
6,,brushing,12,Admission
6,,predict,47,Admission
6,,see data,16,Admission
6,,brushing,42,Admission
6,,predict,42,Admission
6,,see data,30,Admission
6,,predict,50,Admission
6,,see data,5,Admission
6,,brushing,83,Admission
6,,brushing,84,Admission
6,,predict,31,Admission
6,,see data,25,Admission
6,,predict,52,Admission
6,,see data,44,Admission
6,,predict,51,Admission
6,,see data,20,Admission
6,,predict,94,Admission
6,,see data,17,Admission
6,,brushing,119,Admission
6,,predict,19,Music
6,,see data,23,Music
6,,see data,23,Music
6,,see data,3,Music
6,,brushing,68,Music
6,,predict,36,Music
6,,see data,43,Music
6,,predict,26,Music
6,,see data,34,Music
6,,predict,40,Music
6,,see data,11,Music
6,,predict,49,Music
6,,see data,25,Music
6,,see data,46,Music
6,,brushing,11,Music
6,,see data,20,Music
6,,brushing,14,Music
6,,brushing,45,Music
6,,predict,11,Music
6,,see data,2,Music
6,,brushing,51,Music
6,,brushing,12,Music
6,,see data,23,Music
6,,predict,30,Music
6,,see data,13,Music
6,,brushing,24,Music
6,,brushing,56,Music
6,,see data,1,Music
6,,brushing,14,Music
